eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.05,-1.7599999904632568,3629.0,0.004016812425106764,0.01833089254796505,2.704119920730591,-0.002130068140104413,0.3033543825149536,0.0017472505569458008,1.0,256.0,4.513881086000765,16384.0
80.72,-1.909999966621399,6730.0,0.003549630753695965,0.02187093161046505,2.695413827896118,-0.0015956187853589654,0.18390601873397827,0.0009799599647521973,2.0,512.0,6.96657031399991,32768.0
82.34,-2.0399999618530273,6704.0,0.003199773607775569,0.02530924417078495,2.6846466064453125,-0.0013490983983501792,0.16891945898532867,0.00572580099105835,3.0,768.0,9.411182818999805,49152.0
84.5,-2.7100000381469727,6699.0,0.005296751391142607,0.04168701171875,2.665020704269409,-0.0028594527393579483,0.1874135136604309,0.01076894998550415,4.0,1024.0,11.857658610000726,65536.0
83.29,-2.430000066757202,6595.0,0.006242635194212198,0.0421956367790699,2.6567866802215576,-0.0021530946251004934,0.17789362370967865,0.017679035663604736,5.0,1280.0,14.342974586999844,81920.0
83.53,-2.549999952316284,6554.0,0.003380410373210907,0.01851399801671505,2.6587893962860107,-0.0007269802154041827,0.18928086757659912,0.025751352310180664,6.0,1536.0,16.843432699000914,98304.0
86.77,-1.4700000286102295,6706.0,0.005276059731841087,0.0382893867790699,2.639416217803955,-0.00243812776170671,0.17624874413013458,0.059673309326171875,7.0,1792.0,19.2872112820005,114688.0
86.83,-2.130000114440918,6725.0,0.005439277738332748,0.0537516288459301,2.6362340450286865,-0.003069358877837658,0.18033219873905182,0.08579283952713013,8.0,2048.0,21.724392275000355,131072.0
86.53,-2.200000047683716,6655.0,0.0045526339672505856,0.0445963554084301,2.632941722869873,-0.0021048777271062136,0.17113840579986572,0.13269197940826416,9.0,2304.0,24.18739094400007,147456.0
77.05,-1.899999976158142,6649.0,0.005750017706304789,0.0489298515021801,2.6244091987609863,-0.003014245303347707,0.17884518206119537,0.1625722050666809,10.0,2560.0,26.65232025899968,163840.0
86.19,-1.9900000095367432,6657.0,0.004863370209932327,0.03607177734375,2.620539665222168,-0.0026374992448836565,0.1503421813249588,0.19141429662704468,11.0,2816.0,29.11411522399976,180224.0
87.92,-1.4500000476837158,6712.0,0.00497823441401124,0.0447184257209301,2.624089479446411,-0.003533167066052556,0.13453727960586548,0.21763473749160767,12.0,3072.0,31.55588612900101,196608.0
87.05,-1.8899999856948853,6888.0,0.004480990115553141,0.0337320975959301,2.614903211593628,-0.003211549250409007,0.12705358862876892,0.20633739233016968,13.0,3328.0,33.93503299999975,212992.0
84.11,-1.8200000524520874,6708.0,0.003804275067523122,0.02915445901453495,2.601304531097412,-0.0031552566215395927,0.12649358808994293,0.2678998112678528,14.0,3584.0,36.3781737270001,229376.0
87.23,-1.7200000286102295,6705.0,0.004659703001379967,0.0446980781853199,2.609222173690796,-0.0031690143514424562,0.12661497294902802,0.2314053773880005,15.0,3840.0,38.82247542699952,245760.0
82.85,-1.6100000143051147,6762.0,0.005162220913916826,0.0559488944709301,2.5959393978118896,-0.00409798976033926,0.14634017646312714,0.2024206519126892,16.0,4096.0,41.24630969999998,262144.0
86.88,-1.3600000143051147,6700.0,0.005397269502282143,0.0577189140021801,2.5933566093444824,-0.003485296620056033,0.11905083060264587,0.19647586345672607,17.0,4352.0,43.69267471199964,278528.0
80.76,-1.6399999856948853,6709.0,0.0056653390638530254,0.067626953125,2.577516794204712,-0.003942654933780432,0.12884105741977692,0.20543307065963745,18.0,4608.0,46.135536222000155,294912.0
75.68,-1.7200000286102295,6656.0,0.00515848258510232,0.0485636405646801,2.5918314456939697,-0.003937927540391684,0.11418823152780533,0.23442649841308594,19.0,4864.0,48.59782828000061,311296.0
78.91,-1.440000057220459,6082.0,0.004625698551535606,0.0424397774040699,2.5758557319641113,-0.004406657535582781,0.1302315890789032,0.232343852519989,20.0,5120.0,51.29248646800079,327680.0
80.41,-1.4900000095367432,6657.0,0.005306147038936615,0.0586751289665699,2.570218324661255,-0.004796014167368412,0.13089819252490997,0.2360020875930786,21.0,5376.0,53.754195968000204,344064.0
73.11,-1.4900000095367432,6613.0,0.005179550498723984,0.0587361641228199,2.5625979900360107,-0.0042920480482280254,0.1281469613313675,0.24998557567596436,22.0,5632.0,56.23274658800074,360448.0
80.47,-1.600000023841858,6587.0,0.006176158785820007,0.06884765625,2.558760404586792,-0.004145386163145304,0.1417178511619568,0.2133866548538208,23.0,5888.0,58.720657458999995,376832.0
79.8,-1.3200000524520874,6729.0,0.005414892453700304,0.0557047538459301,2.5472846031188965,-0.004304077476263046,0.11965873837471008,0.2466052770614624,24.0,6144.0,61.156328144001236,393216.0
78.04,-0.9599999785423279,6754.0,0.005337097216397524,0.0596516914665699,2.5248305797576904,-0.005037876311689615,0.11185140162706375,0.23657715320587158,25.0,6400.0,63.58293686199977,409600.0
78.52,-0.9800000190734863,6775.0,0.005763415712863207,0.0618693046271801,2.5148885250091553,-0.004484244622290134,0.12226905673742294,0.2397337555885315,26.0,6656.0,66.00204605900035,425984.0
79.73,-1.350000023841858,6761.0,0.005015217233449221,0.05169677734375,2.5154106616973877,-0.004481591749936342,0.12157240509986877,0.23479890823364258,27.0,6912.0,68.42618251600106,442368.0
78.82,-1.399999976158142,6631.0,0.0064070094376802444,0.06927490234375,2.500243902206421,-0.0033197032753378153,0.123155377805233,0.3266668915748596,28.0,7168.0,70.89782387699961,458752.0
79.81,-1.2999999523162842,6674.0,0.006954232696443796,0.0880940780043602,2.478663682937622,-0.006256663706153631,0.12216667085886002,0.32242387533187866,29.0,7424.0,73.35358016300052,475136.0
78.33,-1.5299999713897705,6754.0,0.005258491728454828,0.0556844063103199,2.4847466945648193,-0.0046074590645730495,0.14573772251605988,0.331217885017395,30.0,7680.0,75.77999134099991,491520.0
78.36,-1.2300000190734863,6666.0,0.0064291260205209255,0.07672119140625,2.4641802310943604,-0.006389851216226816,0.11631446331739426,0.37311673164367676,31.0,7936.0,78.23845443500068,507904.0
78.38,-1.3899999856948853,6704.0,0.006225809454917908,0.0807088240981102,2.4871327877044678,-0.00367203657515347,0.12560681998729706,0.33171749114990234,32.0,8192.0,80.68305745299949,524288.0
75.3,-1.1799999475479126,6395.0,0.005766512826085091,0.0652669295668602,2.491990804672241,-0.005123781505972147,0.12426090240478516,0.3360353112220764,33.0,8448.0,83.24620802600111,540672.0
84.03,-1.559999942779541,6763.0,0.0048988149501383305,0.0502115897834301,2.4909865856170654,-0.004481874871999025,0.11998186260461807,0.32619673013687134,34.0,8704.0,85.66946579500109,557056.0
74.15,-0.9800000190734863,6747.0,0.008306323550641537,0.1148274764418602,2.4638426303863525,-0.00605427473783493,0.10747184604406357,0.28424233198165894,35.0,8960.0,88.0984183340006,573440.0
79.18,-1.850000023841858,6683.0,0.005475057289004326,0.0630696639418602,2.4765408039093018,-0.004514267202466726,0.14228613674640656,0.27348440885543823,36.0,9216.0,90.55067269500069,589824.0
77.83,-1.7999999523162842,6661.0,0.0062521942891180515,0.0658365860581398,2.4679181575775146,-0.005546811502426863,0.14095857739448547,0.33460599184036255,37.0,9472.0,93.01108039599967,606208.0
74.0,-0.9900000095367432,6666.0,0.0072291200049221516,0.09429931640625,2.4549002647399902,-0.005891511682420969,0.13305087387561798,0.3392919898033142,38.0,9728.0,95.46974856500128,622592.0
80.82,-1.059999942779541,6718.0,0.005833830218762159,0.0626220703125,2.4655046463012695,-0.00355266104452312,0.12020477652549744,0.3042283058166504,39.0,9984.0,97.90928178700051,638976.0
74.83,-1.409999966621399,6607.0,0.005504841450601816,0.0610758475959301,2.4481582641601562,-0.004791850224137306,0.10306290537118912,0.35114794969558716,40.0,10240.0,100.38958907500091,655360.0
74.93,-2.180000066757202,6658.0,0.007164354901760817,0.0938924178481102,2.44828724861145,-0.00497116893529892,0.13748140633106232,0.361427366733551,41.0,10496.0,102.85098723299961,671744.0
75.16,-0.9800000190734863,6716.0,0.0062270998023450375,0.0736897811293602,2.449021100997925,-0.005657488480210304,0.10273606330156326,0.37158340215682983,42.0,10752.0,105.29139711199969,688128.0
