eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
81.1,-2.0999999046325684,186.0,0.00043418153654783964,0.0,2.7076151371002197,-0.0005481081898324192,0.3075370788574219,-0.012481331825256348,1.0,256.0,87.64786352499993,16384.0
82.73,-1.4199999570846558,1332.0,0.000441540963947773,0.0,2.705230474472046,-0.0006271685706451535,0.16088564693927765,0.03516346216201782,2.0,512.0,100.44037090300003,32768.0
85.6,-1.9800000190734863,1326.0,0.0002038758684648201,0.0,2.703589677810669,-0.0003791541384998709,0.1429479867219925,0.03230941295623779,3.0,768.0,112.788562146,49152.0
77.69,-2.119999885559082,1307.0,0.0005002413527108729,0.0,2.7017858028411865,-0.0008892500773072243,0.14362482726573944,0.04942446947097778,4.0,1024.0,125.31556857099997,65536.0
79.88,-2.2699999809265137,1298.0,0.0006522380281239748,0.0,2.6961681842803955,-0.0004120283992961049,0.14719146490097046,0.09939980506896973,5.0,1280.0,137.93034744600004,81920.0
85.52,-2.609999895095825,1275.0,0.00046091180411167443,0.00026448568678461015,2.6914756298065186,-0.0007853268180042505,0.13616405427455902,0.21306997537612915,6.0,1536.0,150.78048119799996,98304.0
76.24,-1.690000057220459,1267.0,0.0006841491558589041,0.0,2.6846158504486084,-0.000951574940700084,0.11385592818260193,0.3252394199371338,7.0,1792.0,163.70845213099994,114688.0
81.85,-2.1600000858306885,1255.0,0.0019716378301382065,0.01043701171875,2.6787636280059814,-0.002800300717353821,0.11999911814928055,0.3562626242637634,8.0,2048.0,176.76356017900002,131072.0
83.35,-1.8799999952316284,1253.0,0.0010599971283227205,0.0015665689716115594,2.675163984298706,-0.0010696841636672616,0.10753553360700607,0.4242228865623474,9.0,2304.0,189.834832582,147456.0
81.83,-1.9600000381469727,1269.0,0.0013792713871225715,0.0024007160682231188,2.6693429946899414,-0.001770723145455122,0.10821174830198288,0.4623561501502991,10.0,2560.0,202.746797549,163840.0
86.15,-1.6100000143051147,1275.0,0.0024201299529522657,0.01883951760828495,2.651015520095825,-0.003199969418346882,0.09154350310564041,0.5381613373756409,11.0,2816.0,215.594183575,180224.0
76.81,-1.8799999952316284,1276.0,0.0011478181695565581,0.003662109375,2.641735315322876,-0.00246083689853549,0.10561436414718628,0.5763277113437653,12.0,3072.0,228.43225369200002,196608.0
